34.233333,38.35
34.26,38.503
34.25,38.355
38.75,38.4
38.9,38.883333
39.733333,38.283333
39.766667,38.283333
39.916667,38.7
38.9226,37.2233
38.178,36.377
38.116667,36.1
38.116667,36.016667
38.38333333,35.86666667
36.533333,33.516667
36.55,33.366667
47.18333333,33.93333333
48.15,34.13333333
47.4,32.55
35.316667,30.366667
35.283333,32.716667
35.2,32.7
35.683333,32.816667
34.483333,30.933333
35.433333,31.85
33.014,34.721
39.816667,38.216667
35.533333,32.616667
35.03333333,32.58333333
34.9,32.75
39.8,38.15
34.624,38.5441
38.1667,36.4167
38.025658,36.919178
35.316667,32.95
