36.6,36.266667
32.5625,34.9267
34.933333,38.566667
44.95,36.2
38.025658,36.919178
32.933333,38.566667
33.4448,35.2978
35.166667,38.583333
42.05,36.133333
47.1833333333,33.9333333333
47.4,32.55
35.66,32.64
34.566667,36.833333
47.083333,34.366667
33.34455,34.79543
33.30293,34.75249
42.316667,36.366667
34.99,32.410
40.51,34.85
44.933333,35.533333
38.1667,36.4167
34.55,31.6666666667
34.583333,35.691667
38.866667,35.183333
36.316667,34.183333
34.566667,36.833333
39.033333,36.516667
33.014,34.721
38.3833333333,35.8666666667
36.45,35.816667
38.85,35.25
47.25,32.616667
